L00000000,    3.251343,    3.388672,    3.237000,    3.235474,    3.109131,    3.523254,    3.244019,    3.234558,   
L00000001,    3.250427,    3.397827,    3.236389,    3.236084,    3.108826,    3.523560,    3.244629,    3.234558,   
L00000002,    3.251648,    3.388977,    3.237610,    3.236389,    3.108826,    3.523560,    3.244324,    3.234558,   
L00000003,    3.250122,    3.396301,    3.235474,    3.234863,    3.108215,    3.522339,    3.243103,    3.233643,   
L00000004,    3.250122,    3.387451,    3.235474,    3.234863,    3.107910,    3.522644,    3.243103,    3.233337,   
L00000005,    3.250122,    3.396912,    3.235474,    3.235168,    3.108521,    3.522644,    3.243713,    3.233643,   
L00000006,    3.251343,    3.388977,    3.237000,    3.236084,    3.108826,    3.523254,    3.244019,    3.234863,   
L00000007,    3.250122,    3.396606,    3.235474,    3.234863,    3.107910,    3.522644,    3.243408,    3.233643,   
L00000008,    3.250732,    3.388062,    3.236389,    3.235474,    3.108521,    3.522949,    3.244019,    3.234253,   
L00000009,    3.250427,    3.396301,    3.235474,    3.234558,    3.107910,    3.522644,    3.243103,    3.233643,   
L00000010,    3.251343,    3.388062,    3.236694,    3.235474,    3.108521,    3.523560,    3.244019,    3.234253,   
L00000011,    3.251038,    3.398132,    3.236389,    3.235779,    3.108521,    3.523560,    3.244019,    3.234558,   
L00000012,    3.251343,    3.388977,    3.236694,    3.236694,    3.108826,    3.523560,    3.244629,    3.234558,   
L00000013,    3.251038,    3.397827,    3.236694,    3.235779,    3.108826,    3.522949,    3.243713,    3.234558,   
L00000014,    3.251038,    3.388367,    3.236694,    3.235779,    3.108826,    3.523560,    3.244324,    3.234253,   
L00000015,    3.250122,    3.397217,    3.236084,    3.235779,    3.108521,    3.523560,    3.243713,    3.233948,   
L00000016,    3.250427,    3.386841,    3.235474,    3.234558,    3.107910,    3.522339,    3.243408,    3.233337,   
L00000017,    3.249817,    3.395691,    3.234863,    3.234558,    3.107910,    3.522034,    3.242798,    3.233032,   
L00000018,    3.250427,    3.387146,    3.235474,    3.234863,    3.108215,    3.522644,    3.243408,    3.233643,   
L00000019,    3.251648,    3.398132,    3.236694,    3.236084,    3.108826,    3.523560,    3.244629,    3.234863,   
L00000020,    3.251343,    3.388672,    3.237305,    3.236084,    3.109131,    3.523865,    3.244629,    3.234863,   
